ISO	Country	Year	value
ARG	Argentina	1820	-0.37
AUS	Australia	1820	-0.35
BRA	Brazil	1820	-0.77
CAN	Canada	1820	-0.12
CHN	China	1820	-0.45
DEU	Germany	1820	-0.49
EGY	Egypt	1820	-0.43
ESP	Spain	1820	-0.18
FRA	France	1820	-0.4
GBR	United Kingdom	1820	-0.27
IDN	Indonesia	1820	-0.79
IND	India	1820	-0.59
ITA	Italy	1820	-0.31
JPN	Japan	1820	-0.61
MEX	Mexico	1820	-0.85
NLD	Netherlands	1820	-0.27
POL	Poland	1820	-0.78
SWE	Sweden	1820	-0.45
THA	Thailand	1820	-0.76
TUR	Turkey	1820	-0.67
USA	United States	1820	0.31
ZAF	South Africa	1820	-1.06
ARG	Argentina	1870	-0.46
AUS	Australia	1870	0.26
BRA	Brazil	1870	-0.67
CAN	Canada	1870	0.47
CHN	China	1870	-0.54
DEU	Germany	1870	0.19
EGY	Egypt	1870	-0.6
ESP	Spain	1870	-0.29
FRA	France	1870	0.01
GBR	United Kingdom	1870	0.09
IDN	Indonesia	1870	-0.94
IND	India	1870	-0.78
ITA	Italy	1870	-0.54
JPN	Japan	1870	-0.58
MEX	Mexico	1870	-0.7
NLD	Netherlands	1870	0.13
POL	Poland	1870	-0.33
SWE	Sweden	1870	0.07
THA	Thailand	1870	-0.87
TUR	Turkey	1870	-0.65
USA	United States	1870	0.65
ZAF	South Africa	1870	-0.66
ARG	Argentina	1910	-0.02
AUS	Australia	1910	1.26
BRA	Brazil	1910	-0.65
CAN	Canada	1910	1.06
CHN	China	1910	-0.52
DEU	Germany	1910	0.75
EGY	Egypt	1910	-0.54
ESP	Spain	1910	0.19
FRA	France	1910	0.69
GBR	United Kingdom	1910	0.75
IDN	Indonesia	1910	-0.88
IND	India	1910	-0.84
ITA	Italy	1910	0
JPN	Japan	1910	-0.32
MEX	Mexico	1910	-0.65
NLD	Netherlands	1910	0.65
POL	Poland	1910	0.24
SWE	Sweden	1910	0.69
THA	Thailand	1910	-0.73
TUR	Turkey	1910	-0.55
USA	United States	1910	1.09
ZAF	South Africa	1910	-0.43
ARG	Argentina	1950	0.76
AUS	Australia	1950	1.81
BRA	Brazil	1950	0.12
CAN	Canada	1950	1.8
CHN	China	1950	-0.27
DEU	Germany	1950	1.49
EGY	Egypt	1950	-0.1
ESP	Spain	1950	0.75
FRA	France	1950	1.37
GBR	United Kingdom	1950	1.47
IDN	Indonesia	1950	-0.53
IND	India	1950	-0.29
ITA	Italy	1950	0.93
JPN	Japan	1950	0.65
MEX	Mexico	1950	0.02
NLD	Netherlands	1950	1.4
POL	Poland	1950	0.51
SWE	Sweden	1950	1.46
THA	Thailand	1950	-0.17
TUR	Turkey	1950	-0.22
USA	United States	1950	1.95
ZAF	South Africa	1950	0.11
ARG	Argentina	1970	1.12
AUS	Australia	1970	2.18
BRA	Brazil	1970	0.41
CAN	Canada	1970	2.28
CHN	China	1970	0.37
DEU	Germany	1970	2.14
EGY	Egypt	1970	0.08
ESP	Spain	1970	1.31
FRA	France	1970	1.91
GBR	United Kingdom	1970	2.02
IDN	Indonesia	1970	0.01
IND	India	1970	0.03
ITA	Italy	1970	1.51
JPN	Japan	1970	1.69
MEX	Mexico	1970	0.64
NLD	Netherlands	1970	1.93
POL	Poland	1970	1.09
SWE	Sweden	1970	2.1
THA	Thailand	1970	0.33
TUR	Turkey	1970	0.34
USA	United States	1970	2.41
ZAF	South Africa	1970	0.52
ARG	Argentina	2000	1.65
AUS	Australia	2000	2.89
BRA	Brazil	2000	1.49
CAN	Canada	2000	2.74
CHN	China	2000	1.21
DEU	Germany	2000	2.7
EGY	Egypt	2000	1.08
ESP	Spain	2000	2.24
FRA	France	2000	2.57
GBR	United Kingdom	2000	2.87
IDN	Indonesia	2000	1.18
IND	India	2000	0.77
ITA	Italy	2000	2.43
JPN	Japan	2000	2.48
MEX	Mexico	2000	1.52
NLD	Netherlands	2000	2.51
POL	Poland	2000	1.84
SWE	Sweden	2000	2.52
THA	Thailand	2000	1.37
TUR	Turkey	2000	1.22
USA	United States	2000	2.95
ZAF	South Africa	2000	0.97
